name,parent,x,y,z,qx,qy,qz,qw
root,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000
pelvis,0,-0.00000000,2.28086615,95.89678192,-0.02241495,0.70675142,0.02241495,-0.70675142
spine_01,1,3.67705345,-0.00000000,-0.00000000,-0.00000000,0.00000000,-0.12582950,-0.99205188
spine_02,2,6.79505730,-0.00000000,0.00000000,0.00000000,0.00000000,0.03022859,-0.99954301
spine_03,3,7.23822784,0.00000000,0.00000000,0.00000000,-0.00000000,0.09537736,-0.99544119
spine_04,4,8.52389336,0.00000000,0.00000000,0.00000392,-0.00000020,0.05117673,-0.99868961
spine_05,5,19.43980026,0.00000018,-0.00000000,-0.00000392,-0.00000002,0.00594621,-0.99998232
neck_01,6,11.88776588,-0.00000000,0.00000000,0.00000000,-0.00000000,-0.20730051,-0.97827731
neck_02,7,5.11025953,0.00000000,-0.00000000,-0.00000085,0.00000001,0.01669791,-0.99986058
head,8,4.91297102,0.00000000,0.00000000,0.00000085,0.00000009,0.10348842,-0.99463066
clavicle_l,6,5.51626873,-1.31476605,-1.42790425,0.08327832,-0.75456040,-0.04129001,-0.64961409
upperarm_l,10,17.80952263,-0.00000000,0.00000000,-0.01994785,-0.39173075,-0.02019016,-0.91964203
lowerarm_l,11,27.77113914,-0.00000000,-0.00000000,0.00000000,-0.00000000,-0.33363264,-0.94270317
lowerarm_twist_02_l,12,9.08369160,0.00000000,0.00000000,0.01147767,0.01487739,0.01749480,-0.99967037
lowerarm_twist_01_l,12,18.16738319,0.00000000,0.00000000,0.01147767,0.01487732,0.01749480,-0.99967038
hand_l,12,27.25107384,0.00000000,0.00000000,-0.55758685,-0.00167825,0.02056061,-0.82986224
index_metacarpal_l,15,3.44450617,0.38468081,-2.37932444,0.02896585,-0.06370491,-0.00710937,-0.99752299
index_01_l,16,5.87709808,-0.04318174,0.24087569,0.00000000,0.00000000,0.20255656,-0.97927056
index_02_l,17,4.07999992,-0.00000000,-0.00000000,-0.00000000,0.00000000,0.12959664,-0.99156680
index_03_l,18,2.59500003,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.10900915,-0.99404075
middle_metacarpal_l,15,3.37583351,0.75357074,-0.18286437,-0.03729138,0.00038589,-0.02025885,-0.99909899
middle_01_l,20,6.09820890,-0.00000000,0.00000000,0.00000000,-0.00000000,0.27205085,-0.96228288
middle_02_l,21,5.16900015,0.00000000,0.00000000,-0.00000000,0.00000000,0.18025486,-0.98361994
middle_03_l,22,2.47399998,-0.00000000,0.00000000,-0.00000000,-0.00000000,0.08715574,-0.99619470
thumb_01_l,15,1.99244654,-1.35660481,-2.58153605,0.50519330,-0.36912990,-0.06703909,-0.77719278
thumb_02_l,24,4.37799978,-0.00000000,-0.00000000,0.03356521,0.01030245,0.20185571,-0.97878573
thumb_03_l,25,3.08599997,-0.00000000,0.00000000,-0.00000000,0.00000000,0.08715574,-0.99619470
pinky_metacarpal_l,15,3.31437850,0.30591726,2.39111090,-0.21823111,0.18816638,0.05828623,-0.95580924
pinky_01_l,27,4.95756769,0.14312039,-0.19884028,0.08998402,-0.01701600,0.12806590,-0.98752846
pinky_02_l,28,3.81599998,-0.00000000,0.00000000,-0.00000000,0.00000000,0.18469755,-0.98279541
pinky_03_l,29,2.03999996,-0.00000000,0.00000000,0.00000000,-0.00000000,0.04289575,-0.99907955
ring_metacarpal_l,15,3.37430382,0.54251689,1.09175658,-0.11659884,0.10056861,-0.02565965,-0.98774098
ring_01_l,31,5.64551687,0.04162453,-0.02068917,0.05421618,-0.01317727,0.25353977,-0.96571453
ring_02_l,32,4.97700024,0.00000000,-0.00000000,-0.00000000,-0.00000000,0.16473774,-0.98633740
ring_03_l,33,2.26500010,-0.00000000,0.00000000,0.00000000,0.00000000,0.07992057,-0.99680124
upperarm_twist_01_l,11,9.25704575,-0.00000000,-0.00000000,-0.00005356,0.01879018,-0.00284969,-0.99981939
upperarm_twist_02_l,11,18.51409149,-0.00000000,-0.00000000,0.00000000,-0.00000000,0.00000000,-1.00000000
clavicle_r,6,5.51622009,-1.31481123,1.42787266,0.75456040,0.08327832,-0.64961409,0.04129001
upperarm_r,37,-17.80962563,-0.00000287,0.00043810,-0.01994785,-0.39173075,-0.02019016,-0.91964203
lowerarm_r,38,-27.77069473,0.00000000,0.00000000,0.00000000,0.00000000,-0.33363264,-0.94270317
lowerarm_twist_02_r,39,-9.08366203,0.00000000,-0.00000000,0.01147767,0.01487739,0.01749480,-0.99967037
lowerarm_twist_01_r,39,-18.16730499,0.00000000,0.00000000,0.01147767,0.01487732,0.01749480,-0.99967038
hand_r,39,-27.25101089,0.00000000,-0.00000000,-0.55758685,-0.00167825,0.02056061,-0.82986224
pinky_metacarpal_r,42,-3.31467724,-0.30593535,-2.39128685,-0.21823111,0.18816638,0.05828623,-0.95580924
pinky_01_r,43,-4.95730066,-0.14326146,0.19892025,0.08998402,-0.01701600,0.12806590,-0.98752846
pinky_02_r,44,-3.81603622,-0.00003037,0.00003263,-0.00000000,0.00000000,0.18469755,-0.98279541
pinky_03_r,45,-2.03999972,0.00001752,-0.00003100,0.00000001,-0.00000000,0.04289575,-0.99907955
ring_metacarpal_r,42,-3.37420797,-0.54299176,-1.09178162,-0.11659884,0.10056861,-0.02565965,-0.98774098
ring_01_r,47,-5.64571190,-0.04144349,0.02067497,0.05421618,-0.01317727,0.25353977,-0.96571453
ring_02_r,48,-4.97706747,0.00002085,-0.00002361,0.00000000,-0.00000000,0.16473774,-0.98633740
ring_03_r,49,-2.26497459,-0.00005002,-0.00001122,-0.00000000,0.00000000,0.07992057,-0.99680124
middle_metacarpal_r,42,-3.37580013,-0.75400394,0.18280552,-0.03729138,0.00038589,-0.02025885,-0.99909899
middle_01_r,51,-6.09836578,0.00012385,0.00000143,0.00000000,0.00000000,0.27205085,-0.96228288
middle_02_r,52,-5.16899157,0.00007744,-0.00003705,-0.00000000,0.00000000,0.18025486,-0.98361994
middle_03_r,53,-2.47404695,-0.00004578,0.00003439,0.00000000,-0.00000000,0.08715574,-0.99619470
index_metacarpal_r,42,-3.44451404,-0.38516682,2.37930870,0.02896585,-0.06370491,-0.00710937,-0.99752299
